DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
01-12-2017 00:00,28175.432,23210.25,11751.097
01-12-2017 00:10,27373.36,21950.822,11358.507
01-12-2017 00:20,26390.34,21310.693,11113.947
01-12-2017 00:30,25738.807,20708.98,10757.258
01-12-2017 00:40,25359.879,20170.49,10403.072
01-12-2017 00:50,25043.42,19964.396,10700.653
01-12-2017 01:00,24792.89,19918.99,10670.3955
01-12-2017 01:10,24376.342,19215.174,10419.257
01-12-2017 01:20,24060.955,19041.393,10474.831
01-12-2017 01:30,23559.11,18432.236,10059.206
01-12-2017 01:40,23421.39,18127.295,10096.1045
01-12-2017 01:50,23132.035,17964.395,9883.306
01-12-2017 02:00,22594.84,17800.564,9797.409
01-12-2017 02:10,22512.227,17378.406,9872.919
01-12-2017 02:20,22285.32,17113.623,9617.7705
01-12-2017 02:30,22166.307,16682.518,9666.139
01-12-2017 02:40,21936.51,16899.113,8880.488
01-12-2017 02:50,21712.59,16813.875,9320.723
01-12-2017 03:00,21950.812,16874.527,9871.274
01-12-2017 03:10,21600.332,16770.014,9642.408
01-12-2017 03:20,21468.578,16711.959,9481.189
01-12-2017 03:30,21456.547,16363.546,9381.2705
01-12-2017 03:40,21561.195,16303.075,9349.167
01-12-2017 03:50,21352.156,15892.712,8921.273
01-12-2017 04:00,21804.447,16518.215,9713.686
01-12-2017 04:10,21682.328,16239.026,9198.092
01-12-2017 04:20,21821.656,16466.637,9281.078
01-12-2017 04:30,21684.2,16194.306,9533.868
01-12-2017 04:40,21669.55,16004.042,9467.001
01-12-2017 04:50,21348.516,15923.683,9548.966
01-12-2017 05:00,21978.107,16603.24,9968.639
01-12-2017 05:10,21957.379,16738.572,9989.362
01-12-2017 05:20,21926.916,16644.816,10083.258
01-12-2017 05:30,21771.158,16514.371,9819.411
01-12-2017 05:40,21849.795,16743.156,9712.385
01-12-2017 05:50,21626.838,16677.49,9658.297
01-12-2017 06:00,21040.781,15955.63,8273.108
01-12-2017 06:10,21467.318,15896.538,8304.889
01-12-2017 06:20,21658.994,15973.344,8265.661
01-12-2017 06:30,21649.451,15893.236,8213.597
01-12-2017 06:40,21436.158,16003.323,7981.1504
