DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-12-01 00:00:00,37237.94890852569,28259.26936597493,38923.049927891494
2017-12-01 00:10:00,16652.030944664995,26271.69636663121,22312.311989300797
2017-12-01 00:20:00,31705.5392572696,30985.584807333704,23373.826169368604
2017-12-01 00:30:00,46446.4103489895,23514.69666502183,6275.898177030381
2017-12-01 00:40:00,17212.847787096,18506.342600541368,36068.169727366585
2017-12-01 00:50:00,48778.33924480295,24633.161380879268,37369.88895103661
2017-12-01 01:00:00,48693.49321713181,34939.906321588904,9191.472539605129
2017-12-01 01:10:00,33181.38921432501,17268.032374993898,13795.352226121955
2017-12-01 01:20:00,38892.85281669758,13114.566054605933,47530.06311461383
2017-12-01 01:30:00,32297.87878193753,30813.43664630829,38569.01322370922
2017-12-01 01:40:00,16234.473702821399,14039.921977527476,6589.84137799682
2017-12-01 01:50:00,21541.06830428731,13631.48254628753,43096.32146840609
2017-12-01 02:00:00,44405.17338094449,26172.136184556468,14104.789421877751
2017-12-01 02:10:00,22905.957056615305,26866.33627447819,46212.49223754488
2017-12-01 02:20:00,27097.658434462588,36242.14405015491,32575.13530496406
2017-12-01 02:30:00,17357.078374067903,25002.697304254198,30451.430173033477
2017-12-01 02:40:00,27484.836280772033,16683.602299727052,19665.64235254738
2017-12-01 02:50:00,24544.19779279294,33368.95792413023,28326.158890835693
2017-12-01 03:00:00,46160.45485682383,33463.28545231155,29298.297758143042
2017-12-01 03:10:00,22180.043142594193,13080.397970762322,12601.053191919633
2017-12-01 03:20:00,31623.688952406097,22459.64478227807,28087.82058350477
2017-12-01 03:30:00,19473.187378372262,11392.557027592458,37180.841848324715
2017-12-01 03:40:00,48896.39171282094,11314.276611757614,44839.816076962175
2017-12-01 03:50:00,18999.427564676746,21560.465157828927,20214.889300795312
2017-12-01 04:00:00,46623.00825263609,32788.07096681976,37180.55890135823
2017-12-01 04:10:00,25367.58525976481,26106.46762837422,46647.84478335381
2017-12-01 04:20:00,37396.10907592961,12585.50207432454,31464.12437431647
2017-12-01 04:30:00,18699.398974728283,21803.52125457964,34431.955325818635
2017-12-01 04:40:00,48753.45742566896,10140.393046098385,6046.54751302906
2017-12-01 04:50:00,19600.38222425151,29391.80096246203,34354.81916286836
2017-12-01 05:00:00,47041.59118885019,25803.815647688894,43559.87499667257
2017-12-01 05:10:00,25216.361833520892,25525.329676894766,39107.2786053441
2017-12-01 05:20:00,17154.78573858432,8684.069910068058,18081.432609954216
2017-12-01 05:30:00,30038.91875050002,13850.498524393392,36649.63819683499
2017-12-01 05:40:00,36005.69018876743,11414.651168773878,47410.50560255269
2017-12-01 05:50:00,36715.35436383366,18108.55170306533,47420.94514833621
2017-12-01 06:00:00,51510.67305674994,11883.931772426364,15009.717484257977
2017-12-01 06:10:00,15561.308577088395,10159.290133137252,34605.90289943674
2017-12-01 06:20:00,50596.70228533064,32801.89099630617,29409.39177774839
2017-12-01 06:30:00,34919.965982211055,10593.087294103248,38278.6139548431
2017-12-01 06:40:00,27336.150358272826,24008.59733318169,45689.66334579399
2017-12-01 06:50:00,16224.762657918565,29572.69625175507,6962.44612024641
2017-12-01 07:00:00,35742.97679958998,28445.462324837667,28461.762995785673
2017-12-01 07:10:00,17079.047481873895,20765.166798118174,19066.475940419026
2017-12-01 07:20:00,45979.699867861,27668.483174481167,16400.25071263847
2017-12-01 07:30:00,24184.23169921249,32920.128768217844,14462.378032957782
2017-12-01 07:40:00,47383.33084944491,15432.009740337926,7239.806835846614
2017-12-01 07:50:00,45028.7332022806,11079.366415099195,24183.10787144509
2017-12-01 08:00:00,18608.834488866472,26284.84765359579,18262.832024893803
2017-12-01 08:10:00,48740.45458812211,33701.64059945228,5960.925750843588
2017-12-01 08:20:00,41566.17375946761,17354.07696206682,16862.36888603554
2017-12-01 08:30:00,38122.39301285727,33180.43481287467,19032.83827241214
2017-12-01 08:40:00,35763.87770593639,17273.18943309263,13141.231261972578
2017-12-01 08:50:00,36471.733601361164,36006.83936494948,17587.050813328504
2017-12-01 09:00:00,14885.7732041227,30984.988663484586,44481.95937060979
2017-12-01 09:10:00,14765.948092583118,19566.924632230533,31620.30504355848
2017-12-01 09:20:00,45339.55912677277,12765.35405362654,9897.185661182055
2017-12-01 09:30:00,17002.77576549245,17211.02620669805,7275.609665245223
2017-12-01 09:40:00,22254.99732580869,22566.400152860555,14950.544731385347
2017-12-01 09:50:00,37747.227490139965,27069.43566501076,38155.73666136972
2017-12-01 10:00:00,45297.03197572972,18353.04988818316,16855.513445746063
2017-12-01 10:10:00,41711.38432997635,25644.91684187085,47260.4829528852
2017-12-01 10:20:00,28991.139469073125,14492.925920191083,6713.450665363186
2017-12-01 10:30:00,17516.07074835607,9729.727608437615,35963.14447479146
2017-12-01 10:40:00,29828.61507641758,17890.614961765183,7132.458207308821
2017-12-01 10:50:00,50565.45144253229,31608.67750184828,14540.460228470536
2017-12-01 11:00:00,31205.888768342593,32686.56315202424,32649.83070877821
2017-12-01 11:10:00,15340.428403087872,27375.07487482609,28659.188848235193
2017-12-01 11:20:00,30748.24683843246,16597.68511479734,35919.90262402253
2017-12-01 11:30:00,51307.49883253561,30691.99398071712,10515.574027768673
2017-12-01 11:40:00,37213.55128857424,20347.714186224723,6323.116847610839
2017-12-01 11:50:00,36638.566292236625,16331.492227741885,25585.452379100283
2017-12-01 12:00:00,51949.92642663879,13016.601989317816,24181.448971318376
2017-12-01 12:10:00,17739.019948903628,19918.68624267482,27919.960394524704
